filename,filename,md5,sha1,sha256,ssdeep,,,,,,,,,,,,,,,,,,,,,,,
_isdel.exe,C:\Windows\SysWOW64\InstallShield\_isdel.exe,51161BF79F25FF278912005078AD93D5,13CB580AA1D2823CA0F748B1FC262B7DB1689F19,B5DC0FEB738A91CE3CFA982647FE2779787335C6C2C598D5B49818565D7C3E84,384:K3wIA7GjPE6nnP9TDWsKAkk/fG8+lmQP+0JSfgyz:MwIA7Q7tDUAdnemQVSfg,,,,,,,,,,,,,,,,,,,,,,,
_isdel.exe,C:\Windows\SysWOW64\InstallShield\_isdel.exe,9D4EC4B71FD189A0B2C4DBD6AADE16BF,0E7BB331D398BE694A92A823DE839FEFDF464DFD,1E97ECA81395D1BD5E627DEBFDB02828BD3655D68C8F7296395D574781FAA32E,384:m3wIA7GjPE6nnP9TDWsKAkk/fG8+lmQP+0JSfgyz:QwIA7Q7tDUAdnemQVSfg,,,,,,,,,,,,,,,,,,,,,,,
4gb_patch.exe,C:\Program Files (x86)\MediaMonkey\4gb_patch.exe,96490CFDF3C7DD5AE7EF378C689A8734,A9CF666E845CD8448259AA50BB4F5B559CA9C053,980BF5EB62D30C749E5FBF7593E9D25094A4D849A959AA2B7B3FC979B1C93B5A,768:KVPnnByGt57EhDssh60dEDS2An7poavRofE0D94PY/kC:MPBRtj8Hz7xvN0Dnh,,,,,,,,,,,,,,,,,,,,,,,
64BitMailAgent.exe,C:\Program Files (x86)\Foxit Software\Foxit Reader\64BitMailAgent.exe,5E9F411F34593C5B8A866E8E42993016,BC74EDE724D6727E0243360FC023362AC59F2555,11B4BF7ADEA2526B01BCE3B577F5A94313BFFF54823A81D905BB91470819CA0B,6144:UedVUl5CUGnmFSFFVabc+dPQCHBLavBCpkxlGCFBDNL2PYwpLoAIejohSFbzwmPV:UedVrUGmEPmc+NbHUgpEvwjocFPPV,,,,,,,,,,,,,,,,,,,,,,,
7z.exe,C:\Program Files\7-Zip\7z.exe,619F7135621B50FD1900FF24AADE1524,6C7EA8BBD435163AE3945CBEF30EF6B9872A4591,344F076BB1211CB02ECA9E5ED2C0CE59BCF74CCBC749EC611538FA14ECB9AAD2,6144:fz1gL5pRTMTTjMkId/BynSx7dEe6XwzRaktNP08NhKs39zo43fTtl1fayCV7+DHV:r1gL5pRTcAkS/3hzN8qE43fm78V,,,,,,,,,,,,,,,,,,,,,,,
7zFM.exe,C:\Program Files\7-Zip\7zFM.exe,C8F40F25F783A52262BDAEDEB5555427,E45E198607C8D7398745BAA71780E3E7A2F6DECA,E81B44EE7381AE3B630488B6FB7E3D9FFBDD9AC3032181D4CCAAFF3409B57316,12288:9pnF6Ee+Rp4tqkWjQ+iOklku0/04gNphgBBO75nONT3vx2zVP:nZe0p4Ek4niOkl/A04szE87JKTvm,,,,,,,,,,,,,,,,,,,,,,,
7zG.exe,C:\Program Files\7-Zip\7zG.exe,04FB3AE7F05C8BC333125972BA907398,DF22612647E9404A515D48EBAD490349685250DE,2FB898BACB587F2484C9C4AA6DA2729079D93D1F923A017BB84BEEF87BF74FEF,12288:Gaplw9U+qMi8CtdVldusIh6BBHCHrKZXCktSzIzWpX5:9YTqMi8CtBd2QHCHmTBW5,,,,,,,,,,,,,,,,,,,,,,,
AccCheckConsole.exe,C:\Program Files (x86)\Windows Kits\10\bin\10.0.19041.0\arm64\AccChecker\AccCheckConsole.exe,4B0134C4D55EE109CE2AF245A295DA69,C0F29AEBBA4194BE223BAE74CB7A62E5A19694E1,60FFBECB6301A6EA0CC380D558DBA4CA07E8360A3A838EA317061B6BE6DA6F4F,384:j6XLwCj6aYZScLeG41oCvYf6kQFTFemhjITi3K+dwJMgMuiXW2VQwWng4JeRlF6:ypkC5hnjHK+dwJMqivVQpz,,,,,,,,,,,,,,,,,,,,,,,
AccCheckConsole.exe,C:\Program Files (x86)\Windows Kits\10\bin\10.0.19041.0\x64\AccChecker\AccCheckConsole.exe,661E08B8B343F1AFE4E1DDCC9180D2D9,EF237756BE56DB310996B9F16FA6D15DBF31A9CE,9EC5D88096C84D9BF533433D38DAA31EE61E34BD8FE9C5ED7ECD60FDDEFB6792,384:aLwCj6aYZS0reG41oCvYf6kQFTFemhjITi3K+dwJ0gM+KyW2VQwWqwGyeVZalxYI:0BkC5hnjHK+dwJ0qKKVQA65gA,,,,,,,,,,,,,,,,,,,,,,,
AccCheckConsole.exe,C:\Program Files (x86)\Windows Kits\10\bin\10.0.19041.0\x86\AccChecker\AccCheckConsole.exe,7FD40FEAFC038D02E510142B20F4AC8F,18F3AE31D33B30A5FC49C048080BEBB2B355159F,B7AEB85CE2B87D3DBB46D6BF86DD304E13C96AE6DB98059BDCD94AFA0EBE2809,384:hLwCj6aYZScLeG41oCvYf6kQFTFemhjITi3K+dwJwgMDoVW2VQwWUwGytZalxb7v:7pkC5hnjHK+dwJwHotVQC3v,,,,,,,,,,,,,,,,,,,,,,,
